,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
3132,2021-05-26, Recruitment Specialist,"Former Employee, more than 3 years","London, England, England",3,4.0,4.0,4.0,2.0,2.0,3.0,x,v,r,Good opportunities to learn but limited opportunities for progression,"Focus on I&D
Welcoming of new ideas to improve processes
Great people 
Lots of responsibility
Flexible working","Not fairly rewarded for level of responsibility 
Salaries much lower than market rate
If you prove yourself to be a reliable pair of hands, everything will get dumped on you to compensate for the people in the team who do very little
Reluctance to address issues particularly around workload and lack of contribution from others 
Few progression opportunities",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
3136,2021-05-26, Senior Analyst,"Current Employee, more than 3 years","London, England, England",4,1.0,4.0,5.0,4.0,3.0,3.0,v,v,v,Great company with room for improvement,Accenture is a great company to work for. People are friendly and there's loads of opportunities. During normal times the work life balance is very good. Salary is competitive and work events normally make up for any lack of bonus or pay rise.,During covid workload is crazy with no team moral or company rewards. At a leadership level initatives like 'no meeting Friday's after midday' are created but never implemented at the project level. Promotion opportunites are not often and generally and based on time at level,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
3140,2021-05-26, Senior Consultant,Former Employee,"London, England, England",4,3.0,4.0,4.0,4.0,5.0,4.0,v,v,o,Experience on ground,"Salary and Benefits 
Learning
Core values","Stringent deadlines
High workload throughout
Long work hours",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
3144,2021-05-27, Graphic Designer,Former Employee,"London, England, England",5,4.0,5.0,5.0,4.0,3.0,4.0,v,r,v,Great place to work at!,"They have a Truly Human motto and it shows. For a multi national corporation, it really feels like working with family.",Sometimes behind on raises and promotions.,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
3148,2021-05-27, Manager Consultant,Current Employee,"London, England, England",3,2.0,2.0,2.0,3.0,4.0,2.0,x,r,r,ok,"salary, benefits, some of the people","poor culture, too hierarchical, everyone thinks they are the ****",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
3152,2021-06-01, AWS Data Engineer,Current Employee,"London, England, England",4,4.0,5.0,5.0,5.0,4.0,5.0,v,v,v,Interview,Employee Friendly Company and well structured,Low salary as compared to market,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
3156,2021-06-01, Business Strategy Senior Manager,"Current Employee, more than 5 years","London, England, England",5,3.0,4.0,5.0,5.0,4.0,4.0,v,v,v,Hard to beat,"Good pay and market leading benefits package. Potential for quick and meritocratic progress if you show strong performance. Fantastic and almost limitless training opportunities (internal and external).

Market leading focus on diversity and equal
opportunities.","Expect to work hard if you want to do well. Semi-regular late nights are expected.

Experience differs greatly depending on the practice / area of the business you work in - high degree of networking required to chart your own path",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
3160,2021-06-01, Recruiter,"Current Employee, less than 1 year","London, England, England",5,5.0,4.0,5.0,3.0,3.0,5.0,v,v,v,Good overall experience,"WFH is well set up, staff are great to work with, no micromanagement",Role is very repetitive and can take a long time to get basic things done,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
3164,2021-06-03, PMO Manager,Former Employee,"Glasgow, Scotland, Scotland",3,1.0,2.0,2.0,2.0,2.0,3.0,x,r,r,Policies should be Neutral,"> Personal Development
> Client Exposure","> Less recognition
> Average Pay",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
3168,2021-06-03, Senior Analyst,"Current Employee, more than 1 year","London, England, England",4,2.0,3.0,5.0,4.0,3.0,4.0,v,v,v,"Excellent, but highly political/corporate","- Opportunity to work for big tech companies and learn from their amazing people
- Accenture people are often great to work with
- Amazing place to begin your career in tech","- No guarantee you’ll find a good project
- Low salary for the amount of work you do and hours you put in (below career level 9). Infrequently rewarded
- Highly political, you will not progress upwards through merit or work ethic alone — networking and making the right connections is essential
- Sometimes poor employee treatment. Laid off 9% UK workforce mentioning everyone was in scope for redundancy, 1 or 2 months later ACN were on a huge recruitment drive — all while stating employee mental health is top priority…",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
3172,2021-06-03, Senior Pricing Analyst,"Former Employee, more than 5 years","London, England, England",4,2.0,4.0,5.0,4.0,4.0,3.0,v,x,r,International and diverse company,"Flexible
Good experience
Good on your CV","Many extra hours
Very bureaucratic
They will replace you for cheap workers from other countries.",accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
3176,2021-06-04, Strategy Manager,"Current Employee, more than 8 years","Manchester, England, England",5,3.0,5.0,5.0,5.0,4.0,4.0,v,r,v,Strategy accenture,Great culture and perks and progression,Lots of travel at times,accenture,accenture.com,1989.0,information technology and services,10001+,"dublin, dublin, ireland",ireland,linkedin.com/company/accenture,190689,455768
3325,2020-10-13, Talent Development Manager,"Current Employee, less than 1 year","Leicester, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Supportive and Empowering,"Having only recently started at ActionCOACH UK, I already feel I have been here many years. The team and management have been welcoming, friendly and supportive which is especially important whilst starting in a new company in these uncertain times.

It's rare to find a company that gives you so much trust and autonomy to make your role your own which in turn brings out the best in you. I am excited to see where ActionCOACH takes me in my career with them.","On occasion you have to wear many different hats, this can make you very busy - everyone chips into some jobs no matter their role. 

I wouldn't say that was a CON - it's how you should be in a TEAM.",actioncoach,actioncoach.com,1993.0,professional training & coaching,1001 - 5000,"las vegas, nevada, united states",united states,linkedin.com/company/actioncoach,710,1411
3327,2020-10-13, Talent Development Manager,"Current Employee, less than 1 year","Leicester, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Supportive and Empowering,"Having only recently started at ActionCOACH UK, I already feel I have been here many years. The team and management have been welcoming, friendly and supportive which is especially important whilst starting in a new company in these uncertain times.

It's rare to find a company that gives you so much trust and autonomy to make your role your own which in turn brings out the best in you. I am excited to see where ActionCOACH takes me in my career with them.","On occasion you have to wear many different hats, this can make you very busy - everyone chips into some jobs no matter their role. 

I wouldn't say that was a CON - it's how you should be in a TEAM.",actioncoach,thebusinesscoach.ae,2013.0,management consulting,11 - 50,"dubai, dubai, united arab emirates",united arab emirates,linkedin.com/company/actioncoach-dubai,6,20
3330,2021-01-16, Business Coach,Current Employee,Dubai,4,3.0,3.0,3.0,3.0,3.0,3.0,v,v,v,"Great company in the world, with proven results",great industry and company. coaching is a must for all,"no cons great company, must have business knowledge whether a business owner or aspiring one",actioncoach,actioncoach.com,1993.0,professional training & coaching,1001 - 5000,"las vegas, nevada, united states",united states,linkedin.com/company/actioncoach,710,1411
3332,2021-01-16, Business Coach,Current Employee,Dubai,4,3.0,3.0,3.0,3.0,3.0,3.0,v,v,v,"Great company in the world, with proven results",great industry and company. coaching is a must for all,"no cons great company, must have business knowledge whether a business owner or aspiring one",actioncoach,thebusinesscoach.ae,2013.0,management consulting,11 - 50,"dubai, dubai, united arab emirates",united arab emirates,linkedin.com/company/actioncoach-dubai,6,20
3335,2021-03-03, Anonymous Employee,"Former Employee, more than 3 years","Las Vegas, NV",5,3.0,5.0,5.0,3.0,4.0,4.0,v,v,v,A positive experience,"- Great values 
- International network
- Great team spirit",No major negative insights to provide.,actioncoach,actioncoach.com,1993.0,professional training & coaching,1001 - 5000,"las vegas, nevada, united states",united states,linkedin.com/company/actioncoach,710,1411
3337,2021-03-03, Anonymous Employee,"Former Employee, more than 3 years","Las Vegas, NV",5,3.0,5.0,5.0,3.0,4.0,4.0,v,v,v,A positive experience,"- Great values 
- International network
- Great team spirit",No major negative insights to provide.,actioncoach,thebusinesscoach.ae,2013.0,management consulting,11 - 50,"dubai, dubai, united arab emirates",united arab emirates,linkedin.com/company/actioncoach-dubai,6,20
3340,2021-04-27, Business Development Manager,"Former Employee, more than 1 year",Pune,5,5.0,4.0,4.0,4.0,4.0,5.0,v,v,v,Excellent company,"Flexible work timings, work life balance, good mentors/boss",Sometimes you have to chase your own team more than the client,actioncoach,actioncoach.com,1993.0,professional training & coaching,1001 - 5000,"las vegas, nevada, united states",united states,linkedin.com/company/actioncoach,710,1411
3342,2021-04-27, Business Development Manager,"Former Employee, more than 1 year",Pune,5,5.0,4.0,4.0,4.0,4.0,5.0,v,v,v,Excellent company,"Flexible work timings, work life balance, good mentors/boss",Sometimes you have to chase your own team more than the client,actioncoach,thebusinesscoach.ae,2013.0,management consulting,11 - 50,"dubai, dubai, united arab emirates",united arab emirates,linkedin.com/company/actioncoach-dubai,6,20
3345,2020-10-02, Cudtomer Service Representative,"Current Employee, less than 1 year","London, England, England",1,1.0,1.0,1.0,1.0,1.0,1.0,x,r,r,Work,"Pay on time, every week",Not much work Every month,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3347,2020-10-05, Consultant,"Former Employee, more than 1 year",Singapore,2,1.0,2.0,2.0,4.0,4.0,2.0,o,o,o,Place to learn if you can take the stress,"Good for fresh entry, great opportunity / training provided by team lead.
Good employee benefits (if you can stay and utilize it)","Bias, and minor politic issue. If you're top performer, you're always used as a role model for new joiners / average performer. If your sales number is low, the management expect you to work 24/7. If you OT until 8pm and that's not enough! you should OT till 10pm or 11pm to get your number up. Even you OT and the number is not moving, they always think you're not putting much effort to do so. Nothing related to market/economy.",adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3349,2020-10-06, Anonymous Employee,"Current Employee, more than 3 years",Bangalore,5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Truly amazing Place to work !,"great company to work for, Management is very transparent & supportive, everyone at Adecco is very approachable",No downsides at all at Adecco,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3351,2020-10-06, Assembly Line Worker,Current Employee,"Columbus, OH",3,3.0,3.0,3.0,3.0,3.0,3.0,x,r,r,Good but not great,"Experience 
Pay (decent)
Thats about it","Atmosphere feels like a high-school
The people",adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3353,2020-10-07, Anonymous,"Former Employee, less than 1 year","Luton, East of England, England, England",5,5.0,5.0,5.0,4.0,5.0,3.0,v,o,v,Good place to work,everyone at Adecco was friendly.,"Nothing bad occurred during my time, everything was smooth",adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3355,2020-10-07, Anonymous,"Former Employee, more than 1 year",Singapore,5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,None,Very good learning experience. Good manager,"Small learning curve, not related to my course of study",adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3357,2020-10-08, Amazon Warehouse Worker,"Current Employee, less than 1 year","Dunstable, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,o,v,I like the company the are very nice,Adecco are very polite and helpful copany,They don't really want to give holiday,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3359,2020-10-08, Delivery Recruiter,"Current Employee, less than 1 year","Toledo, OH",4,3.0,4.0,4.0,5.0,4.0,5.0,v,o,v,"Great Benefits, Great Schedule","Great benefits, Great schedule, Location and Office setting.","When they downsize your team and they change that great schedule, have you doing multiple jobs, and still continue to expect more and more form you.",adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3361,2020-10-11, Procurement Officer,"Current Employee, more than 1 year",Bangalore,3,3.0,3.0,3.0,3.0,3.0,3.0,x,r,v,Dd,Good company great experience people friendly,There is alternative opportunities in company..,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3363,2020-10-12, Telecommunications Analyst,Current Employee,"Recife, Pernambuco, Pernambuco",5,3.0,4.0,5.0,4.0,4.0,4.0,v,o,v,Review,Facilidade de comunicação com o Rh,Difícil atingir as espectativas com o parceiro e seguir as regras da Adecco,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3365,2020-10-13, Human Resources Assistant,"Former Employee, more than 3 years",Copenhagen,2,2.0,3.0,2.0,3.0,1.0,2.0,x,r,r,Not worth the money,"Only to get the experience.
Money wise is a waste of time",No dialogue with the management,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3367,2020-10-15, Administrative Assistant,"Former Employee, less than 1 year","Tampa, FL",4,2.0,2.0,3.0,4.0,2.0,2.0,v,v,v,Get your foot in the door,Be introduced to a new company,Starting pay will not be very good,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3369,2020-10-16, Warehouse Associate,Former Employee,"Ontario, CA",3,2.0,2.0,2.0,2.0,2.0,2.0,x,o,r,Job review,"Decent benefits, decent co workers","Bad work environment, and not efficient boss",adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3371,2020-10-21, Recruitment Consultant,Former Employee,"London, England, England",3,4.0,2.0,4.0,3.0,2.0,1.0,v,v,o,A place to start a career,"Fun environment with colleagues 
You get to meet nice people in other companies you work with 
Good events","Salary is bad 
Commission isn't great",adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3373,2020-10-27, Inspection,"Former Employee, more than 1 year","Boston, MA",4,5.0,5.0,5.0,5.0,4.0,5.0,v,v,v,Promotion opportunity available for hard workers,Team are easy to manage,"People call out a lot ,hours cut",adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3375,2020-10-29, Financial Administration,"Current Employee, more than 3 years","Birmingham, England, England",4,4.0,4.0,3.0,3.0,3.0,3.0,v,v,v,Good,"High morale , understanding, flexible hours",Hard to progress in getting what you want.,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3377,2020-11-02, Recruitement Consultant,"Former Employee, more than 1 year","Montreal, QC",3,2.0,3.0,4.0,3.0,3.0,3.0,v,v,r,Working at Adecco,"Nice team, good work environnement.","No annual salary review, employee needs to reach out to try and get a review. Feels taboo. 

Alot of people seem un-interested doing the job.

There does not seem to have alot of opportunity to move inside the company.

Big turnover rate so not a lot of stability.

Very big workload and stressfull job.",adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3379,2020-11-04, CSA ,"Former Employee, more than 1 year","Liverpool, England, England",4,3.0,2.0,2.0,2.0,2.0,4.0,v,r,v,Good job,"Stable full time hours NMW, no weekends",Long Mondays and Mon to Friday work,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3381,2020-11-09, Network Engineer,"Current Employee, more than 3 years",Navi Mumbai,5,3.0,3.0,3.0,3.0,4.0,3.0,o,o,o,Good company,"Salary on time, provide medical health",No hike after a year,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3383,2020-11-10, Administrative Assistant,"Former Employee, more than 1 year","Toronto, ON",2,3.0,2.0,2.0,1.0,3.0,3.0,o,o,o,Pros and Cons,Was great working with staff,Poor staff management and needs to be better,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3385,2020-11-10, Recruitment Consultant,"Former Employee, more than 1 year","Udaipur, Rajasthan, Rajasthan",4,4.0,4.0,4.0,4.0,4.0,4.0,v,v,v,Good company to work,HR policy are well defined,I don't found any cons while working,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3387,2020-11-11, Recruiter,"Former Employee, more than 1 year","Chicago, IL",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great company,they take care of their employees,no cons! great job! great balance,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3389,2020-11-11, Recruiter,Current Employee,Taipei,5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great,it is a great place to work,it is a sales company,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3391,2020-11-11, Recruiter,"Current Employee, more than 1 year","Montreal, QC",1,4.0,1.0,1.0,1.0,1.0,1.0,o,o,o,Gestion,Nice team and group activities,"worst micro managing ever
head boss dont even look at look
they treat you like numbers",adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3393,2020-11-11, Vice President,Current Employee,"Chicago, IL",5,3.0,5.0,5.0,5.0,4.0,4.0,v,o,v,Best In Class,"efficient, client driven, optimize process","International structure, hierarchy, politics, travel",adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3395,2020-11-14, Seasonal Field Surveyor,"Former Employee, less than 1 year","London, England, England",4,5.0,3.0,5.0,5.0,3.0,4.0,v,v,r,Quick process,"good pay
good training
a good team of people to work with.
My supervisors were understanding and helpful","A bit unorganised when working in contract with other companies
I only worked for a month so I did not get a deep insight into the company.",adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3397,2020-11-15, Recruiter,"Current Employee, more than 3 years","Brunswick, GA",4,5.0,5.0,5.0,4.0,5.0,4.0,v,v,v,Unknown,Great company to work for,They micro manage to much,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3399,2020-11-16, Customer Service,"Former Employee, less than 1 year","Manchester, England, England",3,5.0,3.0,5.0,1.0,1.0,1.0,x,r,v,Customer Service Agent,good work environment and help provided,very difficult to work your way up,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3401,2020-11-16, Manager,"Former Employee, less than 1 year",Bangalore,1,1.0,1.0,1.0,1.0,1.0,1.0,x,x,x,"""The Worst company"" - Please don't join this company.","1. Non to share 
2. Non to share 
3. Non to share","1. To much Micro-Management 
2. Worst CEO 
3. To much politics 
4. Employees with full Ego 
5. Company people doesn't know the difference between IT Project & Business Project
6. Company don't deserve even 1 rating, it should be -10 rating.",adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3403,2020-11-19, Anonymous,"Current Employee, more than 10 years",Mulgarrie,1,1.0,1.0,1.0,1.0,1.0,1.0,x,x,x,Waste of time,There was nothing positive about working at adecco,There was everything bad about working at adecco,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3405,2020-11-19, Recruiter,"Current Employee, less than 1 year","Dulles, VA",3,1.0,4.0,4.0,4.0,4.0,5.0,v,v,r,Good company,Given a lot of responsibility. Great coworkers. Really makes you feel part of a team!,Micromanaged. Unrealistic expectations. Poor work life balance. Expect 60 hours a week,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3407,2020-11-24, Analyst,"Former Employee, more than 3 years",Chennai,5,5.0,4.0,4.0,5.0,5.0,5.0,v,v,v,Good to work,Respect is excellent with employees,Should increase communication with employees,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3409,2020-11-26, Amazon Warehouse Worker,"Former Employee, less than 1 year","Coalville, England, England",3,2.0,2.0,3.0,2.0,2.0,2.0,v,r,r,Amazon worker,The pay per hour is good.,Long hours Are tiring and constantly on your feet.,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3411,2020-11-27, Mental Health First Aid Coordinator ,"Former Employee, more than 3 years","Croydon, England, England",4,4.0,4.0,5.0,4.0,4.0,4.0,o,o,o,Good Agency,Kept me in work for over 3 years.,No suitable jobs available with them at the momemnt.,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3413,2020-11-28, Account Manager,"Former Employee, more than 3 years","Norcross, GA",3,3.0,3.0,4.0,3.0,2.0,3.0,x,r,r,"Decent company if looking for an entry-level position, but would not recommend as a long term career",Easy hiring process and frequently looking for new hires due to revolving door.,Will not always be equipped with the resources to succeed.,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3415,2020-11-30, Systems Engineer,"Former Employee, more than 3 years",Bangalore,2,1.0,2.0,1.0,2.0,1.0,3.0,o,o,o,Employee benefits,Higher Management helps if we have issues with customers,No consideration for hike only 10% given every year,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3417,2020-12-02, Consultant,"Former Employee, more than 3 years","Prato, Tuscany, Tuscany",3,4.0,3.0,4.0,2.0,3.0,3.0,v,v,r,Adecco,inclusive workplace; training; work-life balance;,not much opportunities to grow if you're under 40 or don't have a responsibility- role yet.,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3419,2020-12-03, RF Engineer,"Former Employee, less than 1 year",Guwahati,5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Good,Work culture is very good,Work pressure is very high,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3421,2020-12-06, Fulfilment Associate,Former Employee,"Hemel Hempstead, England, England",2,2.0,1.0,2.0,1.0,4.0,2.0,x,r,r,"Good money, bad everything else",Pay and overtime pay is good.,Bad work environment and culture. Unfriendly. Unrealistic targets.,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3423,2020-12-08, Anonymous Employee,"Current Employee, less than 1 year","Burlington, ON",3,4.0,3.0,3.0,2.0,2.0,3.0,v,o,v,Good Company with Excellent Benefits,Great team to work with and excellent benefits,Limited hours available. Most likely due to Covid19.,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3425,2020-12-08, Branch Manager,"Current Employee, more than 3 years","Portland, OR",5,5.0,5.0,5.0,5.0,4.0,5.0,v,v,v,Great Company and Better People,"Management, Autonomy, People, Culture, Work/Life Balance","n/a, n/a, n/a, n/a, n/a",adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3427,2020-12-09, Strategic Program Manager,"Current Employee, more than 1 year","Dublin, CA",3,5.0,5.0,5.0,2.0,3.0,3.0,v,r,v,Adecco Review,"Promotes teamwork as an organization , good work life balance",Less leadership interaction or opportunities of growth,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3429,2020-12-11, Associate,Current Employee,Köln,3,3.0,3.0,3.0,3.0,3.0,3.0,v,r,r,good,good payment for the type of work.,heavy work but manageable after time.,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3431,2020-12-14, Manager,"Former Employee, less than 1 year",Paris,4,4.0,4.0,4.0,3.0,4.0,4.0,v,r,v,very good company,"good dynamic, people are nice","none, I loved everything there",adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3433,2020-12-22, National Accounts,"Former Employee, more than 3 years","Jacksonville, FL",2,1.0,1.0,3.0,5.0,3.0,2.0,x,v,v,Do not walk their talk.....,Solid financial company with career opportunities,Leadership micromanages to the point of ridiculousness. Horrible work/life balance with expectations of no time is ever 'off'; TX leaders talk about everyone under their org - very unprofessional and in violation of HR guidelines,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3435,2021-01-07, Recruitment Manager,"Current Employee, more than 1 year",Ciudad de Mexico,5,4.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Recruitment,This is a great company,I do not find any,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3437,2021-01-11, Recruiter,Former Employee,"Baltimore, MD",3,2.0,3.0,5.0,4.0,3.0,3.0,o,r,r,Great Colleagues + many changes in management,Your colleagues are supportive of each other,"Poor work life balance , understaffed",adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3439,2021-01-12, Human Resources Recruiting Coordinator,"Current Employee, less than 1 year","Mountain View, CA",5,5.0,1.0,1.0,4.0,1.0,1.0,v,r,x,nothing,I wish we got better pay,I would the lack of communication,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3441,2021-01-12, Manager,"Current Employee, more than 3 years","Cincinnati, OH",4,3.0,3.0,3.0,3.0,3.0,3.0,v,v,r,Good to work at for first job,"flexible, good benefits, and nice management","pay raise, no room for growth really and sometimes boring",adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
3443,2021-01-13, Customer Service,Former Employee,"Savannah, GA",5,5.0,5.0,5.0,5.0,5.0,5.0,v,r,v,I really enjoyed having this job.,There was a huge learning curve for the inbound customer service call center. I enjoyed every single minute i spent working for Fanatics.,I had to go back to my home town and had to leave my job.,adecco,adecco.com,1996.0,staffing and recruiting,10001+,"glattbrugg, zurich, switzerland",switzerland,linkedin.com/company/adecco,14481,54988
